title,quantities,ingredients,minutes,tags,steps,description,image_path
green chicken enchiladas,"[""12 jalapenos de-viened"", ""1 lb chicken tenderloins"", ""1 can cream of mushroom"", ""1 can cream of chicken"", ""4 cup cheese"", ""1 white corn tortillas"", ""2 tbsp cream cheese softened"", ""1 vegetable oil"", ""1 blender""]","[""chicken"", ""cream of mushroom"", ""cream of chicken"", ""cheese"", ""white corn tortillas"", ""cream cheese"", ""vegetable oil"", ""blender""]",50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'main-dish', 'mexican', 'meat']","['brown meat , the small onion , and garlic until thouroughly cooked', 'add chili powder , salt , and pepper and set aside', 'soften tortillas by frying in 1 / 2 inch of oil for only a few seconds each', 'do not let them become crisp', 'stack tortillas as you cook', 'to prepare: place a spoonful of meat mixture on a tortilla', 'add a tablespoon each of chopped onion and cheese', 'roll up and place seam-side down in a 9 x 13 inch baking dish', 'prepare remaining tortillas in the same manner', 'sprinkle any remaining meat and cheese on top', 'in a saucepan melt butter on medium heat and add flour and salt', 'stir until bubbly and add milk', 'stir until smooth and slightly thickened', 'add green chilis and remove from heat', 'pour over enchilads and sprinkle more cheese on top , if desired', 'bake at 350 for twenty minutes , or until hot']","from ""recipe hall of fame"" cookbook.  this is the best !  creamy & cheesy.  may be prepared the day before or may be frozen. if preparing ahead, add sauce just before baking.",45
twice baked potatoes casserole,"[""6 medium rosset potatoes"", ""500 grams broccoli"", ""1/2 cup milk"", ""2 tbsp butter"", ""2 cup marble cheese"", ""1 salt and pepper to taste""]","[""rosset potatoes"", ""broccoli"", ""milk"", ""butter"", ""marble cheese"", ""salt""]",65,"['time-to-make', 'main-ingredient', 'preparation', 'potatoes', 'vegetables', '4-hours-or-less']","['preheat oven to 500 degrees', 'microwave potatoes on high for 10 minutes , to speed up cooking time', 'this can come in handy , especially on a hot summer day', 'they can also be completely cooking in the microwave', 'then , bake in oven until tender , about 30 minutes', 'when done , cut 1 / 3 of top off each potato', 'scoop flesh from potatoes , being careful not to pierce the sking , into a medium bowl', 'reserve shells', 'add cream cheese , sour cream and butter to potato flesh', 'beat potato mixture with an electric mixer set at medium speed until smooth and creamy , about 3 minutes', 'add onion salt , salt , and pepper , stir', 'reduce oven temperature to 350 degrees', 'spoon potato mixture into potato shells', 'sprinkle with cheddar', 'bake until cheese melts and potatoes are heated through , about 15 minutes', 'the hard part comes into play here - enjoy !']","i believe this recipe came from a card from the easy everyday cooking collection, but since it is still packed, i can't tell you which card.  however, suffice it to say - it's good!",46
twice baked potatoes,"[""4 potatoes"", ""1/3 cup ricotta cheese"", ""1 tub of garden vegetable cream cheese"", ""1/2 tbsp onion powder"", ""1/3 cup of feta cheese"", ""4 pieces of bacon"", ""1 cup mozzarella cheese""]","[""potatoes"", ""ricotta cheese"", ""cream cheese"", ""onion"", ""feta cheese"", ""bacon"", ""mozzarella cheese""]",65,"['time-to-make', 'main-ingredient', 'preparation', 'potatoes', 'vegetables', '4-hours-or-less']","['preheat oven to 500 degrees', 'microwave potatoes on high for 10 minutes , to speed up cooking time', 'this can come in handy , especially on a hot summer day', 'they can also be completely cooking in the microwave', 'then , bake in oven until tender , about 30 minutes', 'when done , cut 1 / 3 of top off each potato', 'scoop flesh from potatoes , being careful not to pierce the sking , into a medium bowl', 'reserve shells', 'add cream cheese , sour cream and butter to potato flesh', 'beat potato mixture with an electric mixer set at medium speed until smooth and creamy , about 3 minutes', 'add onion salt , salt , and pepper , stir', 'reduce oven temperature to 350 degrees', 'spoon potato mixture into potato shells', 'sprinkle with cheddar', 'bake until cheese melts and potatoes are heated through , about 15 minutes', 'the hard part comes into play here - enjoy !']","i believe this recipe came from a card from the easy everyday cooking collection, but since it is still packed, i can't tell you which card.  however, suffice it to say - it's good!",47
chilli sauce,"[""1 can chopped tomato"", ""4 cloves garlic"", ""1 12 teaspoons cumin seeds"", ""3 green chilies, to taste"", ""1 lemon, juice of"", ""olive oil"", ""1 bunch fresh coriander"", ""salt"", ""pepper""]","[""tomato"", ""garlic"", ""cumin seeds"", ""green chilies"", ""lemon"", ""olive oil"", ""fresh coriander"", ""salt"", ""pepper""]",50,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish', 'from-scratch']","['directions', 'in a large resealable plastic bag , combine the first seven ingredients', 'mix well', 'remove 1 / 3 cup for basting', 'cover and refrigerate', 'add chicken to bag', 'seal and turn to coat', 'chill for at least 2 hours', 'drain and discard marinade from chicken', 'grill , covered , skin side down , over medium heat for 20 minutes', 'baste with some of the reserved marinade', 'turn', 'grill 10 minutes longer or until the chicken juices run clear , basting frequently', ""this can be varied with different pieces of chicken , and when the weather / time is un-cooperative , i've done these under the broiler , or even in a roasting dish with the sauce poured on top"", 'so delicious !']",awesome new twist on chicken,49
zucchini stuffed,"[""4 large zucchini cut into quarters"", ""2 tbsp salt"", ""1 cup cooked rice refrigerated over night"", ""1 cup grated carrot"", ""2 cup cheddar cheese grated(mild)"", ""1/3 tsp sesame oil"", ""1 1/2 tsp parmesan cheese""]","[""zucchini"", ""salt"", ""rice"", ""carrot"", ""cheddar cheese"", ""sesame oil"", ""parmesan cheese""]",65,"['time-to-make', 'course', 'main-ingredient', 'preparation', '5-ingredients-or-less', 'main-dish', 'vegetables', 'easy', 'dietary', 'low-carb', 'inexpensive', 'mushrooms', 'low-in-something', 'meat', 'squash', '4-hours-or-less']","['preheat oven to 375', 'cut off end of zucchini and slice in half lengthwise', 'scoop out pulp to leave 1 / 8"" shell', 'put pulp in mixing bowl and chop up well', 'cook sausage and drain well', 'mix zucchini pulp , mushrooms , and sausage', 'scoop mixture into zucchini shells', 'pour sauce over top', 'place in baking dish', 'cover with tinfoil', 'make sure tinfoil is tight on pan', ""if it isn't this will take a long time !"", 'bake in oven 45 minutes', 'remove from oven , remove tinfoil and sprinkle with cheese', 'bake uncovered 5 minutes or until cheese is melty and bubbly']",this recipe is wonderful.  easy to make.  my kids who do not like zucchini ate it all and refused to believe that's what it was.,50
chile verde,"[""8 oz dry pinto beans 1 in a quarter cup"", ""1 lb boneless skinless chicken breast 2 cups cooked"", ""4 oz can chopped green chilies"", ""1 tsp ground cumin"", ""3/4 tsp dried oregano leaves"", ""1/4 tsp Ground cloves"", ""1/4 tsp cayenne pepper"", ""3 cup water"", ""3 chicken bouillon cubes"", ""1 tsp minced garlic 1 clove"", ""1 tsp salt"", ""2/3 cup finely chopped onion"", ""1 cup rated low fat monterey jack cheese"", ""1 dozen corn tortillas"", ""11 1/2 oz jar salsa""]","[""pinto beans"", ""chicken"", ""green chilies"", ""ground cumin"", ""oregano"", ""Ground cloves"", ""cayenne pepper"", ""water"", ""chicken"", ""garlic"", ""salt"", ""onion"", ""cheese"", ""corn tortillas"", ""salsa""]",65,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'poultry', 'mexican', 'chicken', 'spicy', 'one-dish-meal', 'inexpensive', 'meat', 'chicken-thighs-legs', 'taste-mood', 'savory', '4-hours-or-less']","['start off by seasoning your chicken on both sides with half of the salt and pepper', 'if your using bone in chicken cut off skin before seasoning your chicken', 'fill a pot with the water and start to boil', 'pour oil into a frying pan and start browning chicken on both sides about 4 minute on each side', 'you might want to fry only 4 or 5 at a time for an even color', 'remember you not cooking the chicken all the way just browning', 'the pot of water should be boiling at this time , put the tomatillos and jalapenos into the boiling water and boil 12-15 minutes', 'while the tomatillos and jalapenos are boiling finish browning all of the chicken', 'once the tomatillos and jalapenos are ready drain the water and put the tomatillos , jalapenos , cilantro , garlic , and the chicken broth into a blender and start pulsing until all the ingredients are all mixed and then blend for 30-40 seconds', 'once blended leave in blender until needed', 'pour the remaining oil in a pot and start frying the onion on med-high heat', 'after about two minutes put the rest of the salt , pepper , cumin , and cayenne pepper and fry for an additional 5 minutes , add the browned chicken and pour the tomatillo mixture and simmer for 20 minutes', 'take out the chicken with tongs and put in to a bowl and start shredding', 'once chicken is shredded place back into pot and simmer for another 20 minutes', 'i like to use bone in chicken because i feel it has more falvor than boneless chicken']",mexican spicy but not too hot with chicken instead of pork. my mother makes this receipe with pork i had to make it with chicken because my husbands does not eat pork. i usually serve this with refried beans and flour tortillas.,52
brussels sprouts,"[""1 brussles sprout2 cloves garlic""]","[""garlic""]",60,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'casseroles', 'side-dishes', 'eggs-dairy', 'vegetables', 'oven', 'vegetarian', 'cheese', 'dietary', 'equipment']","['trim sprouts and cut an x in the stem of each', 'if sprouts are large , cut in half lengthwise', 'bring 1 inch of water to boil in a 3-qt', 'saucepan', 'add sprouts , reduce heat to medium low , cover and simmer for 10 minutes or until fork tender', 'drain', 'place sprouts in 1-1 / 2 quart baking dish', 'top with water chestnuts', 'in same saucepan , melt butter and saute mushrooms until tender', 'stir in 2 tablespoons flour and pepper until well blended', 'gradually add milk , stirring , until blended', 'keep stirring until mixture boils and thickens', 'remove from heat and stir in cheese until melted', 'pour mixture over sprouts in baking dish and sprinkle with almonds', 'bake at 350 for 20 minutes or until bubbly']","this may sound like a crazy combination, but it's a wonderful dish! the mushrooms and water chestnuts add complementary textures, and the cheese sauce brings it all together.",54
shrimp w/feta and orzo,"[""34 cup orzo pasta"", ""1 (14 1/2 ounce) can tomatoes"", ""14 cup chopped parsley"", ""1 lb cooked shrimp"", ""1 teaspoon grated lemon, rind of"", ""12 cup crumbled feta cheese"", ""salt and pepper""]","[""orzo pasta"", ""tomatoes"", ""parsley"", ""shrimp"", ""grated lemon"", ""feta cheese"", ""salt""]",55,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', 'salads', 'number-of-servings']","['in a bowl , whisk together garlic , lemon juice , olive oil , oregano and salt and pepper to taste', 'add shrimp to marinade , stirring to coat well', 'marinate shrimp , covered and chilled , 1 hour', 'prepare grill pan', 'meanwhile , cook orzo according to package instrucktions', 'transfer to a large bowl and let cool', 'for the dressing , combine all six ingeredients in a blender until emulified', 'when orzo is cool , stir in feta , tomato , scallions , and parsley leaves', 'add dressing to taste and toss well', 'season with salt and pepper', 'remove shrimp from marinade', 'discard marinade', 'grill shrimp until just cooked through , about 2 minutes on each side', 'using tongs , remove shrimp from grill pan and toss gently with orzo mixture', 'line salad bowls with baby greens and fill with orzo salad']","fresh, flavorful and filling",55
lobster mac & cheese,"[""2 tbsp veg. oil"", ""1 lb noodles"", ""1 quart whole milk"", ""8 tbsp butter"", ""1/2 cup flour"", ""4 cup gruyere cheese"", ""2 cup extra sharp cheddar cheese"", ""1/2 tsp fresh ground black pepper"", ""1/2 tsp ground nutmeg"", ""1 1/2 lb cooked lobster meat"", ""1 1/2 cup fresh white bread crumbs""]","[""oil"", ""noodles"", ""milk"", ""butter"", ""flour"", ""gruyere cheese"", ""extra sharp cheddar cheese"", ""ground black pepper"", ""ground nutmeg"", ""lobster"", ""fresh white bread crumbs""]",75,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'eggs-dairy', 'pasta', 'seafood', 'american', 'easy', 'dinner-party', 'holiday-event', 'easter', 'lobster', 'cheese', 'dietary', 'one-dish-meal', 'new-years', 'high-calcium', 'high-in-something', 'pasta-rice-and-grains', 'elbow-macaroni', 'shellfish', 'presentation', 'served-hot', '4-hours-or-less']","[""try ina's variation on this dish with lobster !"", 'preheat the oven to 375f', 'drizzle oil into a large pot of boiling salted water', 'add pasta and cook according to the directions on the package , 6 to 8 minutes', 'drain well', 'meanwhile , heat the milk in a small saucepan , but dont boil it', 'in a large pot , melt 6 tablespoons of butter and add the flour', 'cook over low heat for 2 minutes , stirring with a whisk', 'still whisking , add the hot milk to form a thick and creamy sauce , and cook for a minute or two more until thickened and smooth', 'off the heat , add the gruyere , cheddar , roquefort , 1 tablespoon salt , the pepper , nutmeg and crushed red pepper flakes , if using', 'add the cooked macaroni and lobster and stir well', 'place the mixture in 6 to 8 individual gratin dishes', 'melt the remaining 2 tablespoons of butter , combine them with the fresh breadcrumbs , and sprinkle on the top', 'bake for 30 to 35 minutes , or until the sauce is bubbly and the macaroni is browned on the top', 'enjoy !']","this is ina's variation on her grown-up mac & cheese (recipe #281825) and i have had it for a few years and decided to share it today, as i'm making it again this sunday. barefoot contessa at www.housebeautiful.com/0907",56
chicken chilli,"[""1/2 slice square sized chicken"", ""1/2 cup onion cube"", ""15 green chillis"", ""1/2 tbsp salt"", ""1/2 tbsp sugar"", ""1 cup chicken stock"", ""1/2 cup veg oil"", ""1 tbsp tasting salt"", ""2 tbsp tomato sauce"", ""1 tsp cornflower""]","[""chicken"", ""onion"", ""green chillis"", ""salt"", ""sugar"", ""chicken stock"", ""veg oil"", ""salt"", ""tomato sauce"", ""cornflower""]",50,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish', 'from-scratch']","['directions', 'in a large resealable plastic bag , combine the first seven ingredients', 'mix well', 'remove 1 / 3 cup for basting', 'cover and refrigerate', 'add chicken to bag', 'seal and turn to coat', 'chill for at least 2 hours', 'drain and discard marinade from chicken', 'grill , covered , skin side down , over medium heat for 20 minutes', 'baste with some of the reserved marinade', 'turn', 'grill 10 minutes longer or until the chicken juices run clear , basting frequently', ""this can be varied with different pieces of chicken , and when the weather / time is un-cooperative , i've done these under the broiler , or even in a roasting dish with the sauce poured on top"", 'so delicious !']",awesome new twist on chicken,57
burrito bowl,"[""1 box of rice"", ""1 frozen corn"", ""1 can of beans (i used kidney)"", ""1 avocado"", ""1 tomato"", ""1 salt and pepper"", ""1 shredded cheese"", ""1 lemon juice""]","[""rice"", ""corn"", ""beans"", ""avocado"", ""tomato"", ""salt"", ""cheese"", ""lemon juice""]",80,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'beans', 'eggs-dairy', 'vegetables', 'cheese', 'one-dish-meal', 'black-beans', '4-hours-or-less']","['heat oil in medium saucepan over medium heat until hot', 'add 2 / 3 cup of the onion and the garlic', 'cook 5 minutes or until tender , stirring occasionally', 'add rice', 'cook and stir 2 minutes', 'add tomato sauce , water , ground chile and 1 teaspoon of the cumin', 'bring to a boil', 'reduce heat to low , cover and simmer 45 minutes or until all liquid is absorbed', 'meanwhile , place both beans , drained tomatoes , corn , the remaining onion , cilantro , lime juice , hot sauce and the remaining cumin in large bowl', 'mix well', 'set aside', 'when rice is done , stir in salt', 'divide hot rice mixture among 8 individual bowls or spread in 13x9-inch dish', 'top with cheese , lettuce and bean mixture', 'serve immediately and top each serving with sour cream']","burrito ingredients -- flavorful rice, beans, tomatoes, corn, cilantro and lettuce -- without a tortilla, layered in individual bowls or in a casserole dish",58
lobster mac and cheese,"[""40 oz lobster meat"", ""1 lb macaroni elbows cook to instructions on box"", ""1 1/4 cup extra sharp cheddar cheese shredded"", ""1 1/4 cup colby jack cheese shredded"", ""2 tsp salt"", ""1/2 cup margarine"", ""2 tsp granulated garlic powder"", ""1 3/4 cup milk"", ""1/4 cup cornstarch"", ""1/4 cup milk""]","[""lobster"", ""macaroni elbows"", ""extra sharp cheddar cheese shredded"", ""colby jack cheese"", ""salt"", ""margarine"", ""garlic"", ""milk"", ""cornstarch"", ""milk""]",75,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'eggs-dairy', 'pasta', 'seafood', 'american', 'easy', 'dinner-party', 'holiday-event', 'easter', 'lobster', 'cheese', 'dietary', 'one-dish-meal', 'new-years', 'high-calcium', 'high-in-something', 'pasta-rice-and-grains', 'elbow-macaroni', 'shellfish', 'presentation', 'served-hot', '4-hours-or-less']","[""try ina's variation on this dish with lobster !"", 'preheat the oven to 375f', 'drizzle oil into a large pot of boiling salted water', 'add pasta and cook according to the directions on the package , 6 to 8 minutes', 'drain well', 'meanwhile , heat the milk in a small saucepan , but dont boil it', 'in a large pot , melt 6 tablespoons of butter and add the flour', 'cook over low heat for 2 minutes , stirring with a whisk', 'still whisking , add the hot milk to form a thick and creamy sauce , and cook for a minute or two more until thickened and smooth', 'off the heat , add the gruyere , cheddar , roquefort , 1 tablespoon salt , the pepper , nutmeg and crushed red pepper flakes , if using', 'add the cooked macaroni and lobster and stir well', 'place the mixture in 6 to 8 individual gratin dishes', 'melt the remaining 2 tablespoons of butter , combine them with the fresh breadcrumbs , and sprinkle on the top', 'bake for 30 to 35 minutes , or until the sauce is bubbly and the macaroni is browned on the top', 'enjoy !']","this is ina's variation on her grown-up mac & cheese (recipe #281825) and i have had it for a few years and decided to share it today, as i'm making it again this sunday. barefoot contessa at www.housebeautiful.com/0907",59
bread pudding,"[""2 slice bread"", ""500 ml milk"", ""1 tsp esen vanilla"", ""2/3 cup sugar"", ""2 egg"", ""1 cup choclate chip"", ""1 cup raisin""]","[""bread"", ""vanilla"", ""sugar"", ""egg"", ""choclate chip"", ""raisin""]",80,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'poultry', 'dinner-party', 'holiday-event', 'kid-friendly', 'chicken', 'dietary', 'one-dish-meal', 'meat', 'chicken-breasts', 'presentation', 'served-hot', '4-hours-or-less']","['preheat oven to 350', 'line the bottom of a buttered 13x9 baking pan with the bread', 'cut the bread slices to fit', 'spread the chicken out evenly over top of the bread', 'in a small frying pan , melt 2 tablespoons of butter over medium heat', 'add mushrooms and saute until slightly browned , about 3-5 minutes', 'remove from heat , add mayonnaise', 'mix well and spoon evenly over chicken', 'sprinkle cheese evenly over mushroom mixture', 'in a large bowl , combine milk , soup , eggs , pimiento , salt and pepper', 'mix well and pour evenly over top', 'bake 1 hour until toothpick inserted near center comes out clean', 'sprinkle breadcrumbs over top and dot with slivers of the remaining 2 tablespoons of butter', 'bake for about 10 minutes more or until the breadcrumbs are lightly browned']","this is comfort food- rich, delicious and satisfying!  we just love it!  try this, you'll love it.  your family won't be able to stop eating it.",60
jambalaya,"[""1 small rotisserre chicken"", ""3 andoue sausage"", ""1 onion"", ""1 bell pepper"", ""1 celery"", ""1 can tomato sauce"", ""1 minced garlic"", ""1 box rice"", ""1 box chicken stock""]","[""chicken"", ""sausage"", ""onion"", ""bell pepper"", ""celery"", ""tomato sauce"", ""garlic"", ""rice"", ""chicken""]",80,"['ham', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'pork', 'poultry', 'rice', 'american', 'southern-united-states', 'chicken', 'creole', 'one-dish-meal', 'comfort-food', 'meat', 'pasta-rice-and-grains', 'taste-mood', '4-hours-or-less']","['preheat oven to 375 degrees f', 'season the chicken pieces with 2 t creole seasoning and the salt', 'heat up the oil in a heavy lidded pot over med-high heat', 'add the chicken and cool until they get browned on all sides , about 8-10 minutes', 'take the chicken out and set it aside', 'add the celery , bell peppers and onions and cook for about 2 minutes', 'add the garlic and cook for another 2 minutes', 'then add the sausage and ham and cook for another 2 minutes', 'add the rice , stir to blend and cook for approximately 2 more minutes', 'add the chicken stock , tomatoes , tomato paste , worcestershire and the leftover 1 t of creole seasoning , the pepper sauce , bay leaves and thyme', 'stir this all together and return the chicken to the pot , nestling the pieces into the rice mixture', 'cover the pot and bake for about 40 minutes , or until the chicken and rice are tender', 'remove from the oven and let stand for about 5 minutes', 'garnish with the green onions and serve ! you can also serve with additional hot sauce']","even though this is titled chicken jambalaya, there is also some ham and sausage in there for flavor. this is a great one-dish meal and pretty easy to throw together. adapted from an emeril lagasse recipe.",61
stuffed tomatoes,"[""4 large tomatoes, tops cut off and seeded"", ""1 lb lean ground beef or 1 lb sausage, browned with"", ""onion, and"", ""garlic, in"", ""olive oil"", ""1 cup prepared mashed potatoes"", ""1 cup any cheese (i use parmasian)""]","[""tomatoes"", ""lean ground beef"", ""onion"", ""garlic"", ""olive oil"", ""potatoes"", ""any cheese""]",30,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'salads', 'side-dishes', 'vegetables', 'easy', 'beginner-cook', 'dinner-party', 'summer', 'seasonal', 'tomatoes', 'brunch', 'equipment', 'technique']","['with a serrated knife , slice the tops off tomatoes and reserve tops', 'remove the cores and discard', 'using a small spoon , scoop out tomato pulp & seeds from the tomatoes , reserving 1 / 2 cup good tomato bits / pulp', 'let tomato shells drain upside-down on paper towels', 'meanwhile , in a large skillet over medium to medium-high heat , cook bacon until crisp', 'transfer bacon to paper towel to drain', 'thinly slice lettuce into fine shreds and transfer lettuce to a medium or large mixing bowl', 'add reserved tomato bits or pulp , shredded cheddar cheese , green onions , mayonnaise , vinegar , beau monde seasoning and hot pepper sauce', 'stir until well blended', 'crumble the cooked bacon and stir into the lettuce mixture', 'place tomato shells upright on a large platter', 'spoon lettuce filling into the tomato shells , mounding slightly', 'replace tomato tops', 'serve immediately']","this is a great recipe to try, especially if you have an overabundance of garden tomatoes at the end of summer.",62
lamb tagine,"[""2 tablespoons olive oil"", ""1 teaspoon turmeric"", ""1 teaspoon ground ginger"", ""2 lbs lamb, cut in cubes"", ""2 onions, 1 diced,1 sliced"", ""1 pinch saffron"", ""15 sprigs cilantro, tied"", ""1 cup chicken broth"", ""1 cup pitted prune"", ""12 cup dried apricot"", ""2 tablespoons honey"", ""1 teaspoon cinnamon"", ""12 teaspoon red pepper"", ""salt and pepper"", ""1 tablespoon toasted sesame seeds""]","[""olive oil"", ""turmeric"", ""ground ginger"", ""lamb"", ""onions"", ""saffron"", ""cilantro"", ""chicken broth"", ""apricot"", ""honey"", ""cinnamon"", ""red pepper"", ""salt"", ""sesame seeds""]",165,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'main-dish', 'lamb-sheep', 'african', 'dietary', 'low-cholesterol', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something', 'meat', '4-hours-or-less']","['place diced lamb in a bowl , toss with 2 tablespoons of the olive oil , and set aside', 'in a large resealable bag , toss together the paprika , turmeric , cumin , cayenne , cinnamon , cloves , cardamom , salt , ginger , saffron , garlic powder , and coriander', 'mix well', 'add the lamb to the bag , and toss around to coat well', 'refrigerate at least 8 hours , preferably overnight', 'heat 1 tablespoon of olive oil in a large , heavy bottomed pot over medium-high heat', 'add 1 / 3 of the lamb , and brown well', 'remove to a plate , and repeat with remaining lamb', 'add onions and carrots to the pot and cook for 5 minutes', 'stir in the fresh garlic and ginger', 'continue cooking for an additional 5 minutes', 'return the lamb to the pot and stir in the lemon zest , chicken broth , tomato paste , and honey', 'bring to a boil , then reduce heat to low , cover , and simmer for 1 1 / 2 to 2 hours , stirring occasionally , until the meat is tender', 'if the consistency of the tagine is too thin , you may thicken it with a mixture of cornstarch and water during the last 5 minutes']",from allrecipes.com north african recipes. posted for zwt6.,63
shepherd's pie,"[""1 ground beef or lamb"", ""1/4 cup frozen corn"", ""1/4 cup frozen peas"", ""1/4 cup frozen or fresh carrot cubed"", ""3 large potatoes"", ""1 small onion, chopped"", ""3 clove garlic"", ""2 tbsp ketchup"", ""1 paprika"", ""1 tsp ground black pepper"", ""1/4 tsp chili powder"", ""1/4 cup water"", ""1 oil to cook meat"", ""1/4 cup cheese"", ""1/4 tsp ground cinnamon"", ""1/3 cup flour"", ""1/4 cup milk""]","[""ground beef"", ""frozen corn"", ""frozen peas"", ""carrot"", ""potatoes"", ""onion"", ""clove garlic"", ""ketchup"", ""paprika"", ""ground black pepper"", ""chili powder"", ""water"", ""oil"", ""cheese"", ""ground cinnamon"", ""flour"", ""milk""]",75,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'main-dish', 'beef', 'one-dish-meal', 'comfort-food', 'meat', 'taste-mood', '4-hours-or-less']","['peel and cut the potatoes into 2"" chunks', 'put them in a pot and cover with water , bring to a boil', 'boil the potatoes for 10 minutes , drain', 'mash the potatoes and add 2 t butter and the milk', 'add the milk a bit at a time until the potatoes are mashed', 'brown the ground beef in a skillet with the chopped onion', 'drain the beef and add the bbq sauce , salad dressing , chili powder , salt , pepper , beans and corn', 'this mix should be saucy , but not runny', 'grease the bottom of a 9 x 13 glass pan', 'put the hamburger mixture in the pan and spread it out', 'top the hamburger mixture with the mashed potatoes', 'cook at 350 for 30 minutes', 'put the shredded cheese on top and sprinkle with paprika', 'cook for another 10 minutes , until the cheese is melted']",the mix of russian salad dressing and bbq sauce helps this shepherd pie stand out.  another recipe of unknown orgin that my mom used to make.  our family loves this one!,64
chili,"[""2 can beans"", ""2 packages lb hamburger"", ""4 can tomato sauce"", ""1 tbsp worshershire sauce"", ""1 packages chili powder"", ""1 cup brown sugar"", ""1 cup WATER""]","[""beans"", ""hamburger"", ""tomato sauce"", ""worshershire sauce"", ""chili powder"", ""brown sugar"", ""WATER""]",130,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'main-dish', 'beans', 'beef', 'easy', 'beginner-cook', 'kid-friendly', 'winter', 'chili', 'dietary', 'low-cholesterol', 'seasonal', 'low-calorie', 'comfort-food', 'low-carb', 'egg-free', 'healthy-2', 'ground-beef', 'free-of-something', 'low-in-something', 'meat', 'taste-mood', '4-hours-or-less']","['in a large dutch oven , heat the oil', 'add the beef and brown', 'remove the beef , leaving about 1 tablespoon of fat in the pan', 'add the onions , and cook , covered , over low heat for about 5 minutes', 'uncover , raise the heat to medium , and cook until the onions are evenly browned', 'sprinkle the flour over the onions , and cook for another minute', 'add the browned beef , tomatoes , tomato paste , pepper , garlic , broth , chili powder , cumin , oregano , salt , and vinegar to the onions', 'bring to a boil , then lower the heat and simmer , covered 1 1 / 2 hours , stirring occasionally', 'if the chili gets too thick , you may add some water or broth to thin', 'taste the chili , and add more seasonings to adjust to your taste', 'add the bell pepper , and continue to simmer for 15 more minutes', 'add the beans and simmer for an additional 5 minutes', 'serve in heated bowls and top with sour cream and green onions , if using']","this is a really beefy chili, and makes a great, hearty meal on a cool evening.it's not a terribly spicy version, but if you want to turn up the heat, add some cayenne along with the other spices.  i often add more seasoning at the end of the simmering time to suit whomever i'm serving.  i probably get more requests to make this than anything except my gumbo.  this also freezes beautifully (if you have any left!).  i hope you enjoy it as much as i do!",65
curried beef and onions,"[""1 12 flank steaks, trimmed (1/5 lbs)"", ""2 teaspoons oil"", ""salt and pepper"", ""1 tablespoon peeled ginger, minced"", ""3 cloves minced garlic"", ""2 cups onions, cut in eighths"", ""1 tablespoon curry powder"", ""1 teaspoon coriander"", ""1 can diced tomatoes or 1 12 cups fresh tomatoes"", ""12 cup plain yogurt""]","[""flank"", ""oil"", ""salt"", ""ginger"", ""garlic"", ""onions"", ""curry powder"", ""coriander"", ""tomatoes"", ""yogurt""]",50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'beef', 'asian', 'chinese', 'dietary', 'low-carb', 'low-in-something', 'meat']","['marinate beef in soy sauce , curry , sesame oil , cornstarch and sugar 30 minutes', 'heat 2 tblsp', 'oil in frying pan until hot', 'add onions', 'stir-fry until light brown', 'remove from pan', 'set aside', 'heat 2 more tblsp', 'oil in frying pan until hot', 'stir-fry meat mixture for 3 minutes', 'add onions and water', 'stir-fry 2 minutes more', 'serve hot']",this is from the diana liu cookbook posted here for safe keeping.,66
